,Fecha,Nombre,Nombre de la tienda,Tipo de tienda,Cuenta con un establecimiento,Exibe sus produuctos afuera,Venta de productos frescos,Numero de clientes en la tienda,Aparatos electronicos en la tienda,Cambios de tamaño en tienda el año pasado,Cambio de promedio del salario de los empleados en el año pasado,Revisiones mensuales de las finanzas,Conección de internet,Canales de Venta,Metodos de pago,Herramientas para la relacion con los clientes,Servicios,Entregas a domicilio,Cambios producidos por la pandemia,Organización frecuente de los estantes
10,"November 12, 2022",Ángel Francisco Altamirano Campos,Desechables y materias primas Alondra,Grocery store (aka. nanostore),yes,yes,no,3,"POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",No cambió,Dependiente ,yes,yes,Sin registro,Efectivo,Redes sociales,Ninguno,Totalmente en desacuerdo,Sin registro,Diariamente
11,"November 12, 2022",Ángel Francisco Altamirano Campos,Internet ,internet ,no,no,no,1,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",No cambió,No cambió,yes,yes,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria","Aplicación móvil,Redes sociales",Ninguno,Totalmente en desacuerdo,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Quincenalmente
12,"November 12, 2022",Ángel Francisco Altamirano Campos,Ferretería Fénix ,Ferretería ,no,yes,no,2,"Analog cash register,Smartphone",No cambió,Aumentó 15%,no,yes,Sin registro,"Efectivo,Tarjeta de débito y/o crédito",Redes sociales,Ninguno,Algo en desacuerdo,Sin registro,Quincenalmente
13,"November 12, 2022",Ángel Francisco Altamirano Campos,Polleria,Butcher shop,no,no,yes,3,Smartphone,Sin cambios,Sin registro,yes,no,"Llamada a Teléfono celular,WhatsApp",Efectivo,Ninguna,Ninguno,Totalmente en desacuerdo,Sin registro,Nunca
14,"November 12, 2022",Ángel Francisco Altamirano Campos,Tortas planchadas,Micro-restaurant (aka. fondita),no,no,no,0,Smartphone,No cambió,No cambió,yes,yes,Sin registro,Efectivo,Aplicación móvil,Ninguno,Totalmente en desacuerdo,Sin registro,Diariamente
15,"November 9, 2022",Ángel Francisco Altamirano Campos,Dulceria ,Dulceria ,no,no,no,1,"POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",No cambió,No cambió,yes,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,Ninguno,Totalmente de acuerdo,Sin registro,Semanalmente
16,"November 9, 2022",Ángel Francisco Altamirano Campos,Acuario y mascotas ,Pet store,yes,no,no,0,"Security cameras,Smartphone",No cambió,Disminuyó 25%,yes,no,"Redes sociales (e.g. Facebook, Instagram)","Aplicación móvil (e.g. CODI),Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria","Aplicación móvil,Redes sociales",Entrega a domicilio,Sin registro,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente
17,"November 9, 2022",Ángel Francisco Altamirano Campos,Tortas cue,Micro-restaurant (aka. fondita),no,no,no,2,Smartphone,No cambió,Aumentó 25%,no,yes,"Llamada a Teléfono celular,WhatsApp",Efectivo,"Aplicación móvil,Redes sociales",Entrega a domicilio,Sin registro,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente
18,"November 9, 2022",Ángel Francisco Altamirano Campos,Tacos Robert,Micro-restaurant (aka. fondita),no,yes,no,1,Smartphone,Sin cambios,Sin registro,no,no,Sin registro,"Efectivo,Transferencia interbancaria",Ninguna,Ninguno,Totalmente en desacuerdo,Sin registro,Diariamente
19,"November 9, 2022",Ángel Francisco Altamirano Campos,Productos Aldhemi,Cosmetiquera ,no,no,no,0,"Security cameras,Smartphone",Sin cambios,Sin registro,yes,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,"Cuaderno,Redes sociales","Entrega a domicilio,Pago de servicios públicos (e.g. Yastas),Recarga telefónica",Sin registro,Sin registro,Diariamente
20,"November 11, 2022",Sandra Carreón,Mony ,Dairy products,no,yes,yes,2,"Analog cash register,Smartphone",No cambió,No cambió,no,no,Llamada a Teléfono fijo,Efectivo,Ninguna,Ninguno,Algo en desacuerdo,Disminuir la cantidad del pedido,Semanalmente
21,"November 9, 2022",Hiram Jiménez,dulce detalle,Grocery store (aka. nanostore),no,yes,no,0,Dataphone (i.e. card payments),Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
22,"November 9, 2022",Hiram Jiménez,Jerusalen,Grocery store (aka. nanostore),no,no,no,0,"Analog cash register,Dataphone (i.e. card payments)",Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
23,"November 9, 2022",Hiram Jiménez,Salchichonerias San Pedro ,Butcher shop,no,no,yes,3,"Analog cash register,Smartphone",Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
24,"November 9, 2022",Hiram Jiménez,Abarrotes Diana,Grocery store (aka. nanostore),no,no,no,0,Analog cash register,Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
25,"November 9, 2022",Hiram Jiménez,Abarrotes jaime,Grocery store (aka. nanostore),no,no,no,2,Smartphone,Sin cambios,No cambió,no,yes,Sin registro,Efectivo,Sin registro,Recarga telefónica,Sin registro,Sin registro,Semanalmente
26,"November 9, 2022",Hiram Jiménez,Abarrotes el solecito,Grocery store (aka. nanostore),no,no,no,0,Smartphone,Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
27,"November 9, 2022",Harry Hernández,Miscelánea el zócalo ,Grocery store (aka. nanostore),no,no,no,2,"Security cameras,Smartphone",Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
28,"November 9, 2022",Harry Hernández,La pirámide ,Grocery store (aka. nanostore),no,no,no,0,Smartphone,Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
29,"November 9, 2022",Harry Hernández,Miscelánea teocalli ,Grocery store (aka. nanostore),no,no,no,0,Smartphone,Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
30,"November 9, 2022",Harry Hernández,Carnicería la cubana ,Butcher shop,no,no,yes,0,Security cameras,Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
31,"November 9, 2022",Harry Hernández,Providencia ,Grocery store (aka. nanostore),no,yes,no,1,Smartphone,Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
32,"November 9, 2022",Harry Hernández,Carnicería la sorpresa ,Butcher shop,no,yes,yes,1,Smartphone,Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
33,"November 9, 2022",Harry Hernández,Miscelánea yolks ,Grocery store (aka. nanostore),no,no,no,1,Smartphone,Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
34,"November 9, 2022",Ismael López,Cravings,Cafeteria,no,no,no,5,"Analog cash register,Dataphone (i.e. card payments),Security cameras",No cambió,Aumentó 50% o más,yes,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,Ninguno,Totalmente de acuerdo,Ninguna de las anteriores,Semanalmente
35,"November 10, 2022",José Zapata,Tacos de canasta,Micro-restaurant (aka. fondita),yes,yes,no,3,Smartphone,Disminuyó 15%,Aumentó 15%,yes,no,Sin registro,Efectivo,Sin registro,Sin registro,Sin registro,Sin registro,Nunca
36,"November 10, 2022",Azael Mendoza,Mis Mar,Micro-restaurant (aka. fondita),yes,no,yes,0,Smartphone,No cambió,Disminuyó 15%,yes,yes,Llamada a Teléfono fijo,"Efectivo,Tarjeta de débito y/o crédito",Ninguna,Ninguno,Algo de acuerdo,Sin registro,Semanalmente
37,"November 10, 2022",Azael Mendoza,El calcetín perdido ,Planchaduria,yes,no,no,1,Smartphone,Disminuyó 15%,No cambió,yes,no,Volantes,Efectivo,Aplicación móvil,Ninguno,Algo de acuerdo,Aumentar la variedad de productos.,Diariamente
38,"November 10, 2022",Manuel Flores,Ginecología y obstetricia integral,Ginecología,no,no,no,0,Papel y celular,No cambió,No cambió,no,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp","Efectivo,Transferencia interbancaria",Ninguna,Toma de papa nicolau,Sin registro,Sin registro,Sin registro
39,"November 10, 2022",Manuel Flores,Salón de eventos,Salón de eventos,yes,yes,no,1,Smartphone,No cambió,No cambió,yes,yes,"Llamada a Teléfono fijo,WhatsApp",Efectivo,"Aplicación móvil,De frente",Renta de local,Totalmente en desacuerdo,Sin registro,Nunca
40,"November 10, 2022",José Zapata,Alebrije ,Micro-restaurant (aka. fondita),no,no,yes,2,Smartphone,No cambió,Disminuyó 25%,yes,no,Sin registro,Efectivo,Aplicación móvil,Ninguno,Algo de acuerdo,Sin registro,Semanalmente
41,"November 10, 2022",José Zapata,Miscelanea los 3 compadres,Grocery store (aka. nanostore),no,yes,yes,2,"Security cameras,Smartphone",Disminuyó 25%,No cambió,yes,yes,Sin registro,Efectivo,Aplicación móvil,Recarga telefónica,Totalmente en desacuerdo,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente
42,"November 10, 2022",José Zapata,Carnitas el sabroso ,Micro-restaurant (aka. fondita),no,no,yes,1,Smartphone,Aumentó 15%,Disminuyó 50% o más,yes,no,Ninguno,Efectivo,Ninguna,Ninguno,Totalmente de acuerdo,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",No se tiene
43,"November 10, 2022",José Zapata,La Astorga,Panadería ,yes,no,yes,1,"Analog cash register,POS system (i.e. computer + bar code scanner + printer),Security cameras",No cambió,Disminuyó 15%,yes,no,Ninguno,Efectivo,Ninguna,Ninguno,Ni de acuerdo ni en desacuerdo,Sin registro,Diariamente
44,"November 10, 2022",Sandra Carreón,Mi súper Santa Fe ,Grocery store (aka. nanostore),no,no,yes,3,POS system (i.e. computer + bar code scanner + printer),No cambió,No cambió,no,no,Llamada a Teléfono celular,Efectivo,Ninguna,Ninguno,Totalmente en desacuerdo,Sin registro,Semanalmente
45,"November 10, 2022",Sandra Carreón,Abarrotes vinos y licores La ranita,Grocery store (aka. nanostore),no,yes,yes,3,POS system (i.e. computer + bar code scanner + printer),No cambió,Aumentó 25%,yes,yes,Físico ,"Efectivo,Tarjeta de débito y/o crédito",Físico ,Ninguno,Totalmente en desacuerdo,Sin registro,Diariamente
46,"November 8, 2022",Ricardo Galindo Bulos,"Abarrotes Frutas y Verduras ""Hernández""",Grocery store (aka. nanostore),no,yes,yes,3,"Analog cash register,Smartphone",Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
47,"November 10, 2022",Alan Bravo,Productos de belleza y accesorios ,Dairy products,yes,no,no,0,"Dataphone (i.e. card payments),Smartphone",No cambió,Disminuyó 25%,no,yes,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria","Aplicación móvil,Redes sociales",Entrega a domicilio,Sin registro,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente
48,"November 10, 2022",Alan Bravo,Don porkirio,Micro-restaurant (aka. fondita),no,no,yes,1,"Security cameras,bocina y ventilador",No cambió,No cambió,yes,no,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil (e.g. CODI),Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria,Trueque (e.g. comercio o intercambio)","Aplicación móvil,Redes sociales",Entrega a domicilio,Sin registro,Sin registro,Diariamente
49,"November 10, 2022",Alan Bravo,Hules especiales de precisión ,hules,yes,no,no,0,POS system (i.e. computer + bar code scanner + printer),Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
50,"November 10, 2022",Alan Bravo,Fraiche,cosmetiquera ,no,no,no,0,"POS system (i.e. computer + bar code scanner + printer),bocina y pesa",No cambió,Aumentó 15%,yes,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito","Aplicación móvil,Redes sociales",Ninguno,Totalmente en desacuerdo,Sin registro,Semanalmente
51,"November 3, 2022",Jorge Mason,Restaurant La parrilla del lobo,Cafeteria,no,yes,yes,4,"Dataphone (i.e. card payments),Smartphone",Aumentó 25%,Aumentó 15%,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Aplicación móvil,Entrega a domicilio,Sin registro,Sin registro,Diariamente
52,"November 10, 2022",Emilio Garza,Miscelánea la betty,Grocery store (aka. nanostore),yes,no,yes,2,Smartphone,Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
53,"November 10, 2022",Francisco Adán,Antigüedades San Jorge ,objetos ,no,yes,no,0,Smartphone,No cambió,Aumentó 15%,yes,no,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria","Aplicación móvil,Redes sociales",Entrega a domicilio,Sin registro,Sin registro,Semanalmente
54,"November 10, 2022",Francisco Adán,Bazar-Lupita,muebles,no,yes,no,1,Smartphone,Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
55,"November 10, 2022",José Oropeza,Nichimtik,Clothing,no,yes,no,0,Analog cash register,No cambió,No cambió,yes,no,Llamada a Teléfono celular,Efectivo,Cuaderno,Ninguno,Algo en desacuerdo,Sin registro,Semanalmente
56,"November 10, 2022",Emilio Garza,Bazar San José ,Handmade products ,yes,no,no,0,Smartphone,Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
57,"November 10, 2022",Emilio Garza,Manos de tierra ,Rock store,yes,no,no,0,"POS system (i.e. computer + bar code scanner + printer),Smartphone",No cambió,Sin registro,Sin registro,yes,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito",Cuaderno,Ninguno,Sin registro,Sin registro,Semanalmente
58,"November 10, 2022",Francisco Adán,Barra de café ,ropa,no,yes,no,1,Analog cash register,Sin cambios,Sin registro,yes,yes,Página web propia,Tarjeta de débito y/o crédito,Redes sociales,Sin registro,Sin registro,Sin registro,Semanalmente
59,"November 10, 2022",Francisco Adán,NumismáticaJr,objetos ,no,no,no,0,Security cameras,Sin cambios,Sin registro,no,yes,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,Ninguno,Sin registro,Sin registro,Semanalmente
60,"November 10, 2022",Emilio Garza,Talavera Salazar ,Handmade & typical candy store ,yes,no,no,0,"POS system (i.e. computer + bar code scanner + printer),Smartphone",Sin cambios,Sin registro,yes,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Aplicación móvil,Entrega a domicilio,Sin registro,Sin registro,Semanalmente
61,"November 10, 2022",Emilio Garza,Axolote ,Handmade products ,yes,yes,no,0,"POS system (i.e. computer + bar code scanner + printer),Smartphone",Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
62,"November 10, 2022",Emilio Garza,Deportes Jano,Sports,yes,yes,no,1,Smartphone,Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
63,"November 3, 2022",Emilio Garza,In graph ,Copias y servicio computadoras  ,no,no,no,2,"POS system (i.e. computer + bar code scanner + printer),Smartphone",Disminuyó 15%,No cambió,yes,yes,WhatsApp,Efectivo,Aplicación móvil,Recarga telefónica,Algo de acuerdo,Disminuir la frecuencia de pedidos,Sin registro
64,"November 3, 2022",Emilio Garza,Camote azul ,Objetos tradicionales,no,no,no,0,"Analog cash register,POS system (i.e. computer + bar code scanner + printer)",Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
65,"November 4, 2022",Mauro Munguía,Joyeria catedral,joyeria,no,no,no,0,no tiene,No cambió,0,yes,no,no,"Efectivo,Tarjeta de débito y/o crédito",Ninguna,Ninguno,Totalmente en desacuerdo,Sin registro,Quincenalmente
66,"November 4, 2022",Mauro Munguía,Dulceria lili,dulceria,no,no,yes,4,no,Aumentó 50% o más,Aumentó 50% o más,no,yes,Sin registro,Efectivo,Aplicación móvil,Ninguno,Totalmente en desacuerdo,Sin registro,Semanalmente
67,"November 4, 2022",Mauro Munguía,Alexander collection,Ropa,no,no,no,1,Analog cash register,No cambió,Aumentó 15%,yes,yes,Página web propia,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,Ninguno,Totalmente en desacuerdo,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente
68,"November 4, 2022",Mauro Munguía,Chicago Tenis,ropa deportiva,no,no,no,3,"Analog cash register,Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",No cambió,No cambió,yes,yes,"Página web propia,Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Aplicación móvil,venta,Totalmente de acuerdo,Sin registro,Semanalmente
69,"November 3, 2022",Jorge Mason,Big Ballz,Micro-restaurant (aka. fondita),yes,yes,yes,5,"Dataphone (i.e. card payments),Security cameras,Smartphone",Disminuyó 15%,Aumentó 25%,no,yes,"Aplicación móvil (e.g. Rappi, Uber Eats)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria","Aplicación móvil,Redes sociales",Entrega a domicilio,Sin registro,Sin registro,Sin registro
70,"November 3, 2022",Jorge Mason,Crudopolis,Cafeteria,no,yes,yes,9,"Dataphone (i.e. card payments),Security cameras,Smartphone",Aumentó 50% o más,Aumentó 25%,yes,yes,"Aplicación móvil (e.g. Rappi, Uber Eats)","Efectivo,Tarjeta de débito y/o crédito",Aplicación móvil,Entrega a domicilio,Sin registro,Sin registro,Quincenalmente
71,"November 8, 2022",Ricardo Galindo Bulos,Ferretería Flores,Ferretería,yes,no,no,1,"Analog cash register,Security cameras,Smartphone",No cambió,No cambió,yes,yes,Sin registro,Efectivo,Cuaderno,Sin registro,Sin registro,Sin registro,Diariamente
72,"November 7, 2022",Ricardo Galindo Bulos,Miscelánea Gaby,Grocery store (aka. nanostore),no,no,yes,1,Smartphone,Sin cambios,Sin registro,yes,yes,"Llamada a Teléfono celular,WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria","Aplicación móvil,Ninguna",Recarga telefónica,Sin registro,Sin registro,Diariamente
73,"November 8, 2022",José Zapata,Papelería Fher Ali,Papelería ,no,no,no,2,"Analog cash register,POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",Disminuyó 15%,Aumentó 15%,yes,yes,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Transferencia interbancaria","Aplicación móvil,Redes sociales","Entrega a domicilio,Recarga telefónica,Recepción y entrega de paquetes (e.g. Amazon, Mercado Libre)",Sin registro,Disminuir la cantidad del pedido,Semanalmente
74,"November 8, 2022",José Zapata,Marina,Grocery store (aka. nanostore),no,no,yes,2,ninguno,No cambió,No cambió,no,no,Sin registro,Efectivo,publicidades ,Ninguno,Algo de acuerdo,Sin registro,Mensualmente
75,"November 8, 2022",José Zapata,Floristería Lupita,floristería ,no,yes,no,0,no cuenta con dispositivos ,No cambió,No cambió,no,no,Sin registro,Efectivo,Aplicación móvil,Entrega a domicilio,Sin registro,Sin registro,Diariamente
76,"November 8, 2022",José Zapata,Copias ,Papelería ,no,no,no,0,"POS system (i.e. computer + bar code scanner + printer),Smartphone",No cambió,No cambió,no,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",Aplicación móvil,"Entrega a domicilio,Recarga telefónica",Sin registro,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente
77,"November 4, 2022",José Zapata,Recaudattán,Grocery store (aka. nanostore),yes,yes,yes,3,Pesa y calculadora,No cambió,Aumentó 15%,yes,yes,Llamada a Teléfono celular,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria","Aplicación móvil,Redes sociales","Entrega a domicilio,Recarga telefónica",Sin registro,Ninguna de las anteriores,Diariamente
78,"November 4, 2022",José Zapata,Miscelanea Meche,Grocery store (aka. nanostore),no,no,yes,1,"Security cameras,Smartphone",Disminuyó 15%,No cambió,no,yes,Sin registro,Efectivo,Ninguna,Ninguno,Totalmente en desacuerdo,Sin registro,Mensualmente
79,"November 4, 2022",José Zapata,Los girasoles,Venta de productos de limpieza,yes,yes,no,0,"POS system (i.e. computer + bar code scanner + printer),Smartphone",No cambió,Aumentó 50% o más,yes,no,Página web propia,"Efectivo,Transferencia interbancaria","Aplicación móvil,Redes sociales",Entrega a domicilio,Sin registro,Sin registro,Semanalmente
80,"November 8, 2022",José Zapata,Frutas y snacks bar,Grocery store (aka. nanostore),no,no,yes,10,Security cameras,No cambió,Aumentó 50% o más,yes,yes,Sin registro,"Efectivo,Transferencia interbancaria",Publicidad,Ninguno,Totalmente en desacuerdo,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente
81,"November 9, 2022",Yael Loeza,Polleria Lopez ,Grocery store (aka. nanostore),no,yes,yes,3,"Analog cash register,Smartphone",Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
82,"November 9, 2022",Yael Loeza,Tortilleria de Cinteotl,Dairy products,yes,yes,no,1,Smartphone,Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
83,"November 9, 2022",Benjamin Barbosa,Las Tartas,Micro-restaurant (aka. fondita),no,no,no,2,"Analog cash register,Security cameras,Smartphone",Disminuyó 50% o más,Sin registro,yes,yes,"Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Sin registro,Ninguno,Totalmente en desacuerdo,Sin registro,Sin registro
84,"November 9, 2022",Benjamin Barbosa,La  Michoacana,Dairy products,no,no,yes,2,"Analog cash register,Security cameras",Sin cambios,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro,Sin registro
